Name,Location,Rating,Price (Veg),Capacity,Rooms,More,URL,Extra Info
Grand Mercure Vadodara Surya Palace,"Sayajiganj,, ,, Vadodara, ₹, 1,250, ₹, 1,500",4.1,"Sayajiganj,,Vadodara₹1,250₹1,500",40-1000 pax,155 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Grand-Mercure-Vadodara-Surya-Palace-331451,"(6 reviews) Sayajiganj, Vadodara 4 Star & Above Wedding Hotels, Banquet Halls Veg ₹ 1,250 per plate Non veg ₹ 1,500 per plate"
"Bhanu the Fern Resort & Spa, Jambughoda","Sayajiganj,, ,, Vadodara, ₹, 1,000, ₹, 1,300",4.9,"Sayajiganj,,Vadodara₹1,000₹1,300",120-700 pax,84 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Bhanu-the-Fern-Resort-and-Spa-Jambughoda-3818970,"(5 reviews) Sayajiganj, Vadodara 4 Star & Above Wedding Hotels, Banquet Halls Veg ₹ 1,000 per plate Non veg ₹ 1,300 per plate"
The Oasis Hotel,"Sayajiganj,, ,, Vadodara, ₹, 400",5.0,"Sayajiganj,,Vadodara₹400",150-350 pax,74 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/The-Oasis-Hotel-729896,"(1 review) Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 400 per plate"
Himalaya Banquet Hall & Party Plot,"Kendranagar,, ,, Vadodara, ₹, 350",3.5,"Kendranagar,,Vadodara₹350",700-3000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Himalaya-Banquet-Hall-and-Party-Plot-719651,"(1 review) Kendranagar, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 350 per plate IndoorOutdoor"
Waves Club,"Bhayli,, ,, Vadodara, ₹, 499",4.5,"Bhayli,,Vadodara₹499",100-2000 pax,35 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Waves-Club-729959,"(2 reviews) Bhayli, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 499 per plate"
Aarana Lawns,"Mahapura,, ,, Vadodara, ₹, 250",4.5,"Mahapura,,Vadodara₹250",550-1000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Aarana-Lawns-719657,"(1 review) Mahapura, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 250 per plate IndoorOutdoor"
Madhuban Resort & Spa,"Vadodara, ₹, 950, ₹, 1,150",5.0,"Vadodara₹950₹1,150",300-3000 pax,103 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Madhuban-Resort-and-Spa-954190,"(1 review) Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 950 per plate Non veg ₹ 1,150 per plate"
Banyan Paradise Resort,"Vemali,, ,, Vadodara, ₹, 550",5.0,"Vemali,,Vadodara₹550",75-3000 pax,70 Rooms,+4 more,https://www.wedmegood.com/wedding-venues/Banyan-Paradise-Resort-328070,"(4 reviews) Vemali, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 550 per plate"
Courtyard by Marriott,"Vadodara, ₹, 1,200, ₹, 1,400",5.0,"Vadodara₹1,200₹1,400",15-300 pax,120 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Courtyard-by-Marriott-24913851,"(2 reviews) Vadodara 4 Star & Above Wedding Hotels, Banquet Halls Veg ₹ 1,200 per plate Non veg ₹ 1,400 per plate"
Statue of Unity Tent City,"Vadodara, ₹, 1,250",5.0,"Vadodara₹1,250",250-1000 pax,58 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Statue-of-Unity-Tent-City-1307313,"(1 review) Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 1,250 per plate"
Kabir Banquets & Conventions,"Sevasi,, ,, Vadodara, ₹, 800, ₹, 1,000",5.0,"Sevasi,,Vadodara₹800₹1,000",400-800 pax,59 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Kabir-Banquets-and-Conventions-14338,"(1 review) Sevasi, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 800 per plate Non veg ₹ 1,000 per plate"
Suncity Club & Resort,"Vadodara, ₹, 850",5.0,Vadodara₹850,60-1500 pax,37 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Suncity-Club-and-Resort-913278,"(1 review) Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 850 per plate"
Darshan Restaurant & Banquet,"Gotri,, ,, Vadodara, ₹, 250",5.0,"Gotri,,Vadodara₹250",350-500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Darshan-Restaurant-and-Banquet-719645,"(1 review) Gotri, Vadodara Banquet Halls, Convention / Function Halls Veg ₹ 250 per plate Indoor"
AUM Health Resort,"Vadodara, ₹, 500",5.0,Vadodara₹500,100-1000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/AUM-Health-Resort-719655,"(1 review) Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 500 per plate IndoorOutdoor"
Regenta Inn Vadodara,"Sayajiganj,, ,, Vadodara, ₹, 650, ₹, 800",4.9,"Sayajiganj,,Vadodara₹650₹800",15-600 pax,90 Rooms,+4 more,https://www.wedmegood.com/wedding-venues/Reganta-Inn-2033357,"(5 reviews) Sayajiganj, Vadodara 4 Star & Above Wedding Hotels, Banquet Halls Veg ₹ 650 per plate Non veg ₹ 800 per plate"
SUBA Elite,"Vadodara, ₹, 500, ₹, 777",5.0,Vadodara₹500₹777,500-777 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/SUBA-Elite-22840,(1 review) Vadodara Banquet Halls Veg ₹ 500 per plate Non veg ₹ 777 per plate Indoor
Hotel Surya,"Sayajiganj,, ,, Vadodara, ₹, 450",5.0,"Sayajiganj,,Vadodara₹450",30-500 pax,72 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Surya-820500,"(2 reviews) Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 450 per plate"
Laxmi Film City Resort,"Madhavpura,, ,, Vadodara, ₹, 650",3.2,"Madhavpura,,Vadodara₹650",150-2000 pax,48 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Laxmi-Film-City-Resort-1064648,"(2 reviews) Madhavpura, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 650 per plate"
Shiv Farm,"Saiyed Vasna,, ,, Vadodara, ₹, 500",5.0,"Saiyed Vasna,,Vadodara₹500",350-2000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shiv-Farm-701389,"(1 review) Saiyed Vasna, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 500 per plate IndoorOutdoor"
Tulip 2 Restaurant & Banquet,"Sayaji Park Society,, ,, Vadodara, ₹, 290",5.0,"Sayaji Park Society,,Vadodara₹290",40-400 pax,"Banquet Halls, Venues With Rooms",+3 more,https://www.wedmegood.com/wedding-venues/Tulip-2-Restaurant-and-Banquet-4565294,"(1 review) Sayaji Park Society, Vadodara Veg ₹ 290 per plate 4 Rooms"
Royal Orchid Central,"Padra Road,, ,, Vadodara, ₹, 900, ₹, 1,100",5.0,"Padra Road,,Vadodara₹900₹1,100",40-150 pax,81 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Royal-Orchid-Central-729935,"(1 review) Padra Road, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 900 per plate Non veg ₹ 1,100 per plate"
Prakruti Resort,"Chhani,, ,, Vadodara, ₹, 549",4.5,"Chhani,,Vadodara₹549",150-1000 pax,38 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Prakruti-Resort-706191,"(3 reviews) Chhani, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 549 per plate"
Kabir Farm,"Vadodara, Price on Request",5.0,VadodaraPrice on Request,1500-2000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Kabir-Farm-1145491,"(2 reviews) Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request OutdoorIndoor"
Radhika Bhuvan,"Vadodara, ₹, 250",,Vadodara₹250,120-200 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Radhika-Bhuvan-913123,No Reviews Vadodara Banquet Halls Veg ₹ 250 per plate Indoor
"Alkapuri Club, Vadodara","Vadiwadi,, ,, Vadodara, ₹, 550",,"Vadiwadi,,Vadodara₹550",125-1000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Alkapuri-Club-Vadodara-911875,"No Reviews Vadiwadi, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 550 per plate IndoorOutdoor"
The Pacific Hotel,"Vadodara, ₹, 700, ₹, 800",,Vadodara₹700₹800,180-300 pax,15 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/The-Pacific-Hotel-3208195,"No Reviews Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 700 per plate Non veg ₹ 800 per plate"
Lions Club of Baroda,"Diwalipura,, ,, Vadodara, ₹, 45,000",,"Diwalipura,,Vadodara₹45,000",150-1200 pax,N/A,+3 more,https://www.wedmegood.com/wedding-venues/Lions-Club-of-Baroda-595128,"No Reviews Diwalipura, Vadodara Banquet Halls, Marriage Garden / Lawns Rental cost ₹ 45,000 per function IndoorOutdoor"
Palkhi Banquet & Lawn,"Vemali,, ,, Vadodara, Price on Request",5.0,"Vemali,,VadodaraPrice on Request",500-2000 pax,12 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Palkhi-Banquet-and-Lawn-570764,"(1 review) Vemali, Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request"
Aatithya Party Lawn,"New Sama,, ,, Vadodara, ₹, 650",4.5,"New Sama,,Vadodara₹650",400-1500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Aatithya-Party-Lawn-701363,"(2 reviews) New Sama, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 650 per plate IndoorOutdoor"
Jay Narayan Farm and Narayan Banquet,"Vemali,, ,, Vadodara, ₹, 400",,"Vemali,,Vadodara₹400",300-1500 pax,4 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Jay-Narayan-Farm-and-Narayan-Banquet-911864,"No Reviews Vemali, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 400 per plate"
MAI Banquet Hall,"Harni,, ,, Vadodara, Price on Request",,"Harni,,VadodaraPrice on Request",150-250 pax,1 Rooms,+4 more,https://www.wedmegood.com/wedding-venues/MAI-Banquet-Hall-24970437,"No Reviews Harni, Vadodara Banquet Halls Price on Request"
Hotel Telikos Silver,"Karelibagh,, ,, Vadodara, Price on Request",,"Karelibagh,,VadodaraPrice on Request",300-400 pax,27 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Telikos-Silver-2350677,"No Reviews Karelibagh, Vadodara Banquet Halls, 3 Star Hotels with Banquets Price on Request"
Hotel Yuvraj,"Sayajiganj,, ,, Vadodara, ₹, 300",,"Sayajiganj,,Vadodara₹300",40-200 pax,66 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Yuvraj-594154,"No Reviews Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 300 per plate"
Hotel Harmony,"Alkapuri,, ,, Vadodara, ₹, 500",,"Alkapuri,,Vadodara₹500",30-50 pax,32 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Harmony-1259680,"No Reviews Alkapuri, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 500 per plate"
Regenta Fairlark Vadodara,"Vadodara, ₹, 700, ₹, 1,000",4.8,"Vadodara₹700₹1,000",30-400 pax,95 Rooms,+4 more,https://www.wedmegood.com/wedding-venues/Regenta-Fairlark-Vadodara-24635376,"(5 reviews) Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 700 per plate Non veg ₹ 1,000 per plate"
Shubham Party Plot,"Tandalja,, ,, Vadodara, ₹, 3,50,000",4.0,"Tandalja,,Vadodara₹3,50,000",200-2500 pax,N/A,+3 more,https://www.wedmegood.com/wedding-venues/Shubham-Party-Plot-911039,"(1 review) Tandalja, Vadodara Banquet Halls, Marriage Garden / Lawns Rental cost ₹ 3,50,000 per function IndoorOutdoor"
Shakti Greens & Banquets,"Vadodara, Price on Request",4.9,VadodaraPrice on Request,75-2200 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shakti-Greens-and-Banquets-729911,"(4 reviews) Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
Hotel Express Residency,"Alkapuri,, ,, Vadodara, ₹, 525, ₹, 600",,"Alkapuri,,Vadodara₹525₹600",30-500 pax,54 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Express-Residency-593492,"No Reviews Alkapuri, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 525 per plate Non veg ₹ 600 per plate"
Krishna Garden Restaurant,"Vadodara, ₹, 700",,Vadodara₹700,70-180 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Krishna-Garden-Restaurant-4572035,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 700 per plate IndoorOutdoor"
Neelkanth Motels & Hotels,"Vadodara, ₹, 550",,Vadodara₹550,90-400 pax,20 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Neelkanth-Motels-and-Hotels-911925,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 550 per plate"
Merryland Party Lawns & Banquet,"New Sama,, ,, Vadodara, Price on Request",,"New Sama,,VadodaraPrice on Request",700-2000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Merryland-Party-Lawns-and-Banquet-706189,"No Reviews New Sama, Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
Vihal Greens Party Plot and Banquet Hall,"Vemali,, ,, Vadodara, ₹, 511",5.0,"Vemali,,Vadodara₹511",350-2000 pax,4 Rooms,+4 more,https://www.wedmegood.com/wedding-venues/Vihal-Greens-Party-Plot-and-Banquet-Hall-24843846,"(12 reviews) Vemali, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 511 per plate"
White Potato,"Akota,, ,, Vadodara, ₹, 400, ₹, 500",,"Akota,,Vadodara₹400₹500",60-100 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/White-Potato-1259654,"No Reviews Akota, Vadodara Banquet Halls Veg ₹ 400 per plate Non veg ₹ 500 per plate Indoor"
Orbit99 Vilas,"Vadodara, ₹, 350",,Vadodara₹350,400-600 pax,25 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Orbit99-Vilas-971096,"No Reviews Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 350 per plate"
Aaryan Party Plot,"Hari Nagar,, ,, Vadodara, ₹, 450",,"Hari Nagar,,Vadodara₹450",375-1500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Aaryan-Party-Plot-974866,"No Reviews Hari Nagar, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 450 per plate IndoorOutdoor"
Shagun Hotel,"Jetalpur,, ,, Vadodara, ₹, 425, ₹, 500",,"Jetalpur,,Vadodara₹425₹500",80-300 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shagun-Hotel-594008,"No Reviews Jetalpur, Vadodara Banquet Halls Veg ₹ 425 per plate Non veg ₹ 500 per plate Indoor"
Sahyog Restaurant and Banquet,"Sayajiganj,, ,, Vadodara, Price on Request",,"Sayajiganj,,VadodaraPrice on Request",150-200 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Sahyog-Restaurant-and-Banquet-1260038,"No Reviews Sayajiganj, Vadodara Banquet Halls Price on Request Indoor"
Hotel Vrundavan Residency,"Babajipura,, ,, Vadodara, Price on Request",,"Babajipura,,VadodaraPrice on Request",150-200 pax,60 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Vrundavan-Residency-913724,"No Reviews Babajipura, Vadodara Banquet Halls, 3 Star Hotels with Banquets Price on Request"
The Grand Gayatri,"Gorwa,, ,, Vadodara, ₹, 500",,"Gorwa,,Vadodara₹500",300-500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/The-Grand-Gayatri-969136,"No Reviews Gorwa, Vadodara Banquet Halls, Convention / Function Halls Veg ₹ 500 per plate Indoor"
Diwalipura Atithi Gruh,"Diwalipura,, ,, Vadodara, ₹, 350",,"Diwalipura,,Vadodara₹350",600-1000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Diwalipura-Atithi-Gruh-913308,"No Reviews Diwalipura, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 350 per plate IndoorOutdoor"
Topaz Banquet,"Fatehgunj,, ,, Vadodara, ₹, 450",,"Fatehgunj,,Vadodara₹450",80-750 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Topaz-Banquet-911029,"No Reviews Fatehgunj, Vadodara Banquet Halls, Convention / Function Halls Veg ₹ 450 per plate Indoor"
Tarasuns - Vadodara,"Saiyed Vasna,, ,, Vadodara, Price on Request",4.8,"Saiyed Vasna,,VadodaraPrice on Request",350-450 pax,23 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Tarasuns-Vadodara-2315370,"(3 reviews) Saiyed Vasna, Vadodara Banquet Halls, 3 Star Hotels with Banquets Price on Request"
Grand Royal Lawns,"Gotri,, ,, Vadodara, Price on Request",,"Gotri,,VadodaraPrice on Request",200-1000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Grand-Royal-Lawns-2312980,"No Reviews Gotri, Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
Indish Lounge,"Gotri,, ,, Vadodara, ₹, 650",,"Gotri,,Vadodara₹650",450-650 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Indish-Lounge-995147,"No Reviews Gotri, Vadodara Banquet Halls, Convention / Function Halls Veg ₹ 650 per plate Indoor"
Gokul Party Plot,"Saiyed Vasna,, ,, Vadodara, ₹, 500",,"Saiyed Vasna,,Vadodara₹500",250-1000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Gokul-Party-Plot-973575,"No Reviews Saiyed Vasna, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 500 per plate IndoorOutdoor"
The Private Banquet,"Alkapuri,, ,, Vadodara, ₹, 300",,"Alkapuri,,Vadodara₹300",60-100 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/The-Private-Banquet-970965,"No Reviews Alkapuri, Vadodara Banquet Halls, Small Function / Party Halls Veg ₹ 300 per plate Indoor"
The Morsel Restaurant & Banquet,"Hari Nagar,, ,, Vadodara, ₹, 350",,"Hari Nagar,,Vadodara₹350",120-200 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/The-Morsel-Restaurant-and-Banquet-719646,"No Reviews Hari Nagar, Vadodara Banquet Halls Veg ₹ 350 per plate Indoor"
Shree Saurashtra Leuva Patel Seva Samaj,"Gorwa,, ,, Vadodara, ₹, 400",,"Gorwa,,Vadodara₹400",100-700 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shree-Saurashtra-Leuva-Patel-Seva-Samaj-1012169,"No Reviews Gorwa, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 400 per plate IndoorOutdoor"
Milan Party Hall,"Harni,, ,, Vadodara, Price on Request",,"Harni,,VadodaraPrice on Request",500-1000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Milan-Party-Hall-729962,"No Reviews Harni, Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
Siddharth Farm,"Vemali,, ,, Vadodara, ₹, 1,200, ₹, 1,350",,"Vemali,,Vadodara₹1,200₹1,350",400-2000 pax,1 Rooms,+4 more,https://www.wedmegood.com/wedding-venues/Siddharth-Farm-566030,"No Reviews Vemali, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 1,200 per plate Non veg ₹ 1,350 per plate"
Hotel Silver Plate Vadodara,"Vemali,, ,, Vadodara, ₹, 250",,"Vemali,,Vadodara₹250",250-350 pax,22 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Silver-Plate-Vadodara-973092,"No Reviews Vemali, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 250 per plate"
"Vivanta, Vadodara","Padra Road,, ,, Vadodara, ₹, 1,000, ₹, 1,500",,"Padra Road,,Vadodara₹1,000₹1,500",350-700 pax,85 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Vivanta-Vadodara-913321,"No Reviews Padra Road, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 1,000 per plate Non veg ₹ 1,500 per plate"
Liludi Dharti Restaurant and Banquet,"Waghodia,, ,, Vadodara, ₹, 550, ₹, 750",,"Waghodia,,Vadodara₹550₹750",300-450 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Liludi-Dharti-Restaurant-and-Banquet-3340089,"No Reviews Waghodia, Vadodara Banquet Halls Veg ₹ 550 per plate Non veg ₹ 750 per plate Indoor"
Godrej Hall,"Fatehgunj,, ,, Vadodara, ₹, 400, ₹, 500",,"Fatehgunj,,Vadodara₹400₹500",700-1000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Godrej-Hall-971451,"No Reviews Fatehgunj, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 400 per plate Non veg ₹ 500 per plate OutdoorIndoor"
Hotel Sarvottam,"Tarsali,, ,, Vadodara, ₹, 375",,"Tarsali,,Vadodara₹375",200-300 pax,20 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Sarvottam-975338,"No Reviews Tarsali, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 375 per plate"
Veronica Hotel,"Sayajiganj,, ,, Vadodara, ₹, 450",,"Sayajiganj,,Vadodara₹450",250-300 pax,25 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Veronica-Hotel-913076,"No Reviews Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 450 per plate"
Hotel Dash Continental,"Karelibagh,, ,, Vadodara, ₹, 400",,"Karelibagh,,Vadodara₹400",100-150 pax,27 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Dash-Continental-911163,"No Reviews Karelibagh, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 400 per plate"
